date, pm25, pm10, o3, no2, so2, co
2025/4/1, 145, 111, 23, 42, 4, 8
2025/4/2, 208, 115, 27, 44, 9, 6
2025/4/3, 161, 103, 24, 35, 6, 6
2025/4/4, 159, 79, 23, 16, 4, 6
2025/4/5, 140, 90, 29, 24, 4, 6
2025/4/6, 148, 123, 34, 40, 3, 6
2025/4/7, 170, 113, 34, 11, 7, 7
2025/4/8, 168, 115, 40, 11, 7, 7
2025/4/9, 169, 161, 43, 11, 8, 5
2025/4/10, 186, 79, 25, 8, 7, 3
2025/4/11, 127, 55, 32, 9, 8, 9
2025/4/12, 97, 76, 40, 23, 8, 7
2025/4/13, 121, 97, 38, 24, 7, 4
2025/4/14, 157, 72, 37, 7, 12, 4
2025/4/15, 131, 90, 35, 13, 4, 9
2025/4/16, 151, 101, 44, 17, 5, 11
2025/4/17, 161, 104, 48, 8, 5, 9
2025/4/18, 163, 70, 27, 9, 5, 8
2025/4/19, 124, 81, 35, 8, 4, 9
2025/4/20, 141, 100, 41, 11, 5, 9
2025/4/21, 162, , , , , 
2025/1/1, 246, 133, 3, 45, 2, 2
2025/1/2, 207, 300, 5, 48, 4, 15
2025/1/3, 323, 196, 5, 41, 3, 12
2025/1/4, 267, 106, 2, 36, 3, 2
2025/1/5, 184, 119, 2, 40, 3, 2
2025/1/6, 200, 108, 3, 36, 2, 6
2025/1/7, 186, 128, 6, 40, 2, 6
2025/1/8, 262, 261, 11, 46, 2, 5
2025/1/9, 334, 138, 4, 38, 2, 3
2025/1/10, 232, 76, , 41, 3, 2
2025/1/11, 167, 88, , 38, 2, 2
2025/1/12, 177, 79, 2, 36, 3, 2
2025/1/13, 162, 105, 5, 39, 3, 3
2025/1/14, 189, 126, 6, 29, 2, 3
2025/1/15, 219, 116, 17, 30, 3, 16
2025/1/16, 208, 102, 6, 38, 2, 9
2025/1/17, 501, 101, 12, 40, 2, 10
2025/1/18, 380, 156, 10, 45, 2, 20
2025/1/19, 206, 213, 6, 43, 2, 11
2025/1/20, 242, 94, 4, 41, 2, 7
2025/1/21, 158, 111, 11, 33, 3, 13
2025/1/22, 165, 103, 6, 33, 2, 8
2025/1/23, 158, 76, 4, 35, 3, 5
2025/1/24, 138, 81, 4, 34, 3, 8
2025/1/25, 142, 99, 19, 34, 2, 11
2025/1/26, 157, 105, 4, 39, 2, 12
2025/1/27, 165, 129, 8, 47, 2, 12
2025/1/28, 176, 165, 5, 48, 2, 11
2025/1/29, 196, 200, 5, 41, 2, 2
2025/1/30, 219, 139, 6, 35, 2, 2
2025/1/31, 182, 142, 4, 39, 3, 2
2025/2/1, 186, 114, 2, 34, 2, 1
2025/2/2, 169, 105, 3, 34, 2, 2
2025/2/3, 164, 117, 3, 36, 2, 2
2025/2/4, 172, 84, 2, 34, 2, 1
2025/2/5, 145, 89, 3, 33, 2, 5
2025/2/6, 153, 71, 4, 29, 2, 4
2025/2/7, 133, 80, 5, 32, 2, 8
2025/2/8, 141, 109, 7, 39, 2, 11
2025/2/9, 167, 134, 5, 41, 2, 12
2025/2/10, 178, 121, 6, 36, 2, 6
2025/2/11, 173, 95, 3, 28, 3, 6
2025/2/12, 149, 67, 9, 26, 2, 4
2025/2/13, 121, 64, 3, 32, 3, 10
2025/2/14, 114, 147, 3, 69, 3, 15
2025/2/15, 188, 119, 7, 48, 4, 12
2025/2/16, 171, 107, 7, 51, 4, 11
2025/2/17, 165, 92, 4, 64, 2, 9
2025/2/18, 147, 87, 6, 54, 3, 9
2025/2/19, 150, 84, 8, 50, 1, 9
2025/2/20, 134, 69, 4, 29, 2, 8
2025/2/21, 126, 58, 5, 26, 1, 6
2025/2/22, 101, 68, 11, 27, 2, 4
2025/2/23, 122, 77, 7, 28, 2, 7
2025/2/24, 136, 90, 7, 51, 3, 17
2025/2/25, 148, 145, 6, 71, 4, 24
2025/2/26, 182, 77, 4, 37, 2, 8
2025/2/27, 124, 62, 2, 27, 2, 3
2025/2/28, 115, 79, 2, 27, 2, 4
2025/3/1, 161, 86, 3, 31, 3, 6
2025/3/2, 167, 118, 5, 35, 4, 5
2025/3/3, 194, 100, 3, 31, 2, 2
2025/3/4, 177, 87, 4, 26, 2, 1
2025/3/5, 166, 96, 5, 33, 2, 7
2025/3/6, 177, 124, 5, 47, 3, 13
2025/3/7, 205, 123, 6, 40, 6, 17
2025/3/8, 197, 139, 11, 45, 5, 20
2025/3/9, 219, 148, 12, 34, 4, 16
2025/3/10, 224, 202, 20, 40, 4, 21
2025/3/11, 276, 125, 11, 28, 4, 17
2025/3/12, 203, 126, 18, 26, 4, 23
2025/3/13, 200, 124, 17, 32, 4, 30
2025/3/14, 207, 60, 13, 20, 3, 15
2025/3/15, 133, 71, 15, 23, 4, 2
2025/3/16, 156, 76, 9, 24, 4, 2
2025/3/17, 160, 86, 28, 20, 5, 4
2025/3/18, 168, 116, 85, 16, 11, 4
2025/3/19, 194, 153, 80, 22, 12, 5
2025/3/20, 232, 99, 35, 14, 3, 9
2025/3/21, 177, 123, 35, 23, 6, 9
2025/3/22, 200, 132, 55, 18, 5, 2
2025/3/23, 211, 143, 57, 20, 9, 3
2025/3/24, 224, 170, 68, 22, 7, 7
2025/3/25, 239, 165, 28, 41, 8, 11
2025/3/26, 228, 148, 18, 48, 14, 24
2025/3/27, 205, 104, 17, 20, 3, 6
2025/3/28, 161, 72, 18, 11, 4, 6
2025/3/29, 121, 64, 21, 14, 4, 7
2025/3/30, 68, 65, 22, 16, 6, 8
2025/3/31, 96, 71, 22, 16, 5, 9
2024/10/1, 155, 137, 19, 16, 1, 16
2024/10/2, 157, 154, 36, 17, 4, 14
2024/10/3, 142, 135, 30, 17, 5, 5
2024/10/4, 142, 120, 72, 14, 3, 7
2024/10/5, 129, 109, 68, 14, 2, 4
2024/10/6, 132, 115, 31, 18, 2, 5
2024/10/7, 145, 156, 34, 22, 4, 4
2024/10/8, 176, 118, 24, 20, 3, 3
2024/10/9, 159, 97, 9, 23, 3, 2
2024/10/10, 134, 106, 9, 26, 4, 3
2024/10/11, 144, 138, 10, 28, 3, 7
2024/10/12, 184, 219, 40, 31, 10, 15
2024/10/13, 210, 163, 40, 33, 12, 13
2024/10/14, 195, 104, 55, 28, 8, 14
2024/10/15, 140, 122, 52, 42, 8, 20
2024/10/16, 154, 148, 48, 36, 7, 19
2024/10/17, 177, 141, 52, 36, 6, 20
2024/10/18, 167, 127, 84, 35, 12, 12
2024/10/19, 162, 125, 36, 28, 7, 12
2024/10/20, 172, 115, 37, 24, 8, 9
2024/10/21, 171, 127, 39, 29, 8, 13
2024/10/22, 182, 187, 32, 26, 7, 11
2024/10/23, 237, 115, 37, 21, 7, 8
2024/10/24, 176, 123, 32, 22, 8, 7
2024/10/25, 163, 236, 46, 29, 9, 11
2024/10/26, 254, 212, 37, 25, 7, 17
